# Time	(6PGD).Flux	(ALD).Flux	(CAT).Flux	(FBPase).Flux	(G6PD).Flux	(GAPD).Flux	(GLCin).Flux	(GLase).Flux	(GPx).Flux	(GR).Flux	(H2O2diff).Flux	(HK).Flux	(NHN).Flux	(NNH).Flux	(PFK).Flux	(PGI).Flux	(PRPPs).Flux	(RPE).Flux	(RPI).Flux	(TKT2).Flux	(TLD).Flux	(TPI).Flux	(TkT1).Flux
0	9.51668	33.2526	0.0457959	42.6734	9.52115	43.3044	40	9.52438	82.1984	81.9751	182.844	40.0164	0.899773	63.8605	75.9623	30.4692	5.32475	2.79802	6.70988	1.39888	1.39149	33.2939	1.40285
0.001	9.51667	33.2326	0.0542116	42.6734	9.52117	42.9174	40	9.52435	91.5504	81.9773	182.824	40.0164	0.899529	63.8604	75.9602	30.4708	5.32474	2.79803	6.7103	1.39836	1.39212	33.2352	1.40253
0.00380696	9.51665	33.1728	0.0742596	42.6737	9.52126	42.026	40	9.52426	109.922	82.0007	182.778	40.0164	0.898948	63.8603	75.9557	30.4744	5.32471	2.79804	6.71138	1.3968	1.39374	33.0759	1.40171
0.00755962	9.51673	33.0864	0.0955629	42.6745	9.52152	41.1243	40	9.52415	125.044	82.0587	182.729	40.0164	0.898323	63.8607	75.9521	30.4777	5.32468	2.79805	6.71262	1.39458	1.39561	32.8753	1.40075
0.0129299	9.51716	32.9535	0.119352	42.6764	9.52241	40.1703	40	9.52404	138.248	82.1737	182.675	40.0164	0.897598	63.8632	75.9495	30.4805	5.32465	2.79806	6.71409	1.39127	1.39778	32.6108	1.3996
0.0205086	9.51857	32.7546	0.14481	42.6807	9.52499	39.2096	40	9.524	149.37	82.3744	182.616	40.0164	0.896743	63.8716	75.9488	30.4821	5.32461	2.79806	6.71575	1.38652	1.40009	32.2748	1.39835
0.0304557	9.52204	32.4846	0.169594	42.6895	9.5311	38.3338	40	9.52436	158.053	82.6776	182.56	40.0163	0.895733	63.8922	75.9505	30.4821	5.32458	2.79803	6.71759	1.38036	1.40214	31.8841	1.3972
0.0443095	9.53012	32.1089	0.194446	42.7077	9.54507	37.517	40	9.52609	165.178	83.1423	182.503	40.0163	0.894331	63.9406	75.9558	30.4785	5.32456	2.79799	6.72035	1.37208	1.40378	31.4065	1.39624
0.0633481	9.54743	31.6149	0.217918	42.7437	9.57464	36.8093	40	9.53186	170.765	83.8235	182.449	40.0163	0.892186	64.0444	75.967	30.4673	5.32458	2.79795	6.72578	1.36141	1.40468	30.8353	1.39562
0.0797269	9.56782	31.22	0.232141	42.784	9.60925	36.4178	40	9.5409	173.69	84.4297	182.416	40.0163	0.890045	64.1668	75.9786	30.4522	5.32467	2.79798	6.73275	1.35296	1.40484	30.4006	1.39542
