# Time	[G6P]	[Glc]	[Ru5P]	[6PG]	[6PGL]	[R5P]	[NADPp]	[S7P]	[H2O2]	[X5P]	[NADPH]	[GAP]	[E4P]	[GSSG]	[F6P]	[FBP]	[GSH]	[DHAP]
0	4.952	437.853	7.122	24.96	0.952	8.315	15.081	0.076	0.521	2.946	14.919	171.858	2.59	148.604	1.006	31.128	2702.6	9.696
3	4.18391	437.809	11.0377	33.0438	2.33339	12.7828	22.8436	0.0845899	5.74607	3.74017	7.15638	209.745	2.60391	335.237	0.987452	39.3874	2329.33	11.341
6	4.07801	437.775	16.8274	47.7635	2.91459	19.6486	24.214	0.108144	10.6131	6.17029	5.78605	227.108	1.90184	425.297	1.0227	44.3653	2149.21	12.1467
9	4.21186	437.749	21.8579	60.7575	3.20817	25.6685	24.5389	0.133985	17.8622	10.391	5.46112	246.795	1.31303	473.264	1.11624	51.0893	2053.28	13.1081
12	4.46469	437.73	26.1945	72.2719	3.39668	30.881	24.5284	0.162938	25.4585	15.7231	5.47164	267.904	1.00312	497.428	1.24428	59.2571	2004.95	14.1667
15	4.76903	437.716	30.0665	82.9423	3.52961	35.5483	24.382	0.193851	31.3056	21.4534	5.61804	287.95	0.84165	508.37	1.38454	67.8106	1983.07	15.1862
18	5.08258	437.706	33.5874	93.0745	3.62719	39.8013	24.1867	0.225382	34.8465	27.1617	5.81334	305.803	0.749382	512.5	1.52278	76.0442	1974.81	16.102
21	5.38153	437.699	36.8144	102.781	3.70055	43.7055	23.9839	0.256627	36.5324	32.6444	6.0161	321.195	0.690996	513.367	1.65141	83.5974	1973.07	16.8961
24	5.65393	437.694	39.784	112.089	3.75657	47.303	23.7929	0.287061	37.0406	37.8165	6.20714	334.228	0.650351	512.8	1.76696	90.3181	1974.21	17.5712
27	5.89519	437.69	42.5243	120.991	3.7998	50.6262	23.6213	0.31641	36.9169	42.6533	6.37871	345.146	0.61961	511.694	1.86838	96.1765	1976.42	18.1386
30	6.10506	437.688	45.0588	129.468	3.83335	53.7023	23.4711	0.344553	36.5101	47.1587	6.52892	354.236	0.594776	510.463	1.95601	101.212	1978.88	18.6121
33	6.28566	437.687	47.4073	137.506	3.8595	56.5549	23.3413	0.371466	36.0138	51.3495	6.65867	361.783	0.573737	509.29	2.03098	105.503	1981.23	19.0061
36	6.44016	437.686	49.5872	145.094	3.87997	59.2042	23.2299	0.397171	35.5231	55.2471	6.77005	368.048	0.55534	508.241	2.09475	109.139	1983.33	19.3335
39	6.57204	437.686	51.6135	152.234	3.89605	61.6681	23.1345	0.421715	35.078	58.8737	6.86548	373.257	0.538931	507.332	2.14883	112.214	1985.14	19.6061
42	6.68461	437.686	53.4991	158.931	3.90871	63.9622	23.0527	0.445151	34.6904	62.2505	6.94731	377.6	0.524117	506.556	2.19467	114.813	1986.7	19.8336
45	6.78089	437.686	55.2559	165.198	3.91871	66.1002	22.9823	0.467536	34.3596	65.3972	7.01768	381.232	0.510646	505.897	2.23355	117.013	1988.01	20.024
